ID	CRISPRtype	MLST	CRISPR_incomplete	CRISPR_array	Anycas	Ambiguous	I-Fab	P1virus	P1virus(incomplete)
ab00252		1142							
ab00253		2							
ab00254		2						P1virus	P1virus(incomplete)
ab00255		164							
ab00256		2						P1virus	
ab00257		2						P1virus	
ab00258		2						P1virus	
ab00259		164							
ab00260		78							
ab00261		2						P1virus	
ab00262		2						P1virus	P1virus(incomplete)
ab00263		2						P1virus	
ab00264		15							
ab00265	I-F	1					I-Fb		
ab00266		187						P1virus	P1virus(incomplete)
ab00267		2						P1virus	P1virus(incomplete)
ab00268		2						P1virus	
ab00269		45						P1virus	
ab00270		2						P1virus	P1virus(incomplete)
ab00271		2						P1virus	P1virus(incomplete)
ab00272		2						P1virus	
ab00273		2							
ab00274		2						P1virus	P1virus(incomplete)
ab00275		78							
ab00276		2							
ab00277		2							
ab00278		2							
ab00279		2						P1virus	
ab00280		2						P1virus	
ab00281		1091							
ab00282		499						P1virus	
ab00283		2						P1virus	
ab00284		2							
ab00285		2						P1virus	
ab00286		2						P1virus	
ab00287		2						P1virus	
ab00288		2						P1virus	P1virus(incomplete)
ab00289		2						P1virus	
ab00290		2						P1virus	
ab00291		2						P1virus	
ab00292		2						P1virus	
ab00293		2						P1virus	
ab00294		2						P1virus	
ab00295		1142							
ab00296		2							
ab00297		2							
ab00298		2						P1virus	
ab00299		499							
ab00300		-							
ab00301		499							
ab00302		-							
ab00303		2							
ab00304		2							
ab00305		1142							
ab00306		2							
ab00307		1142							
ab00308		1142							
ab00309		1142							
ab00310		1142							
ab00311		1142							
ab00312		1142							
ab00313		2							
ab00314		499							
ab00315		1142							
ab00316		2						P1virus	
ab00317		2							
ab00318		2							
ab00319		499							
ab00320		2						P1virus	
ab00321		2						P1virus	
ab00322		2							
ab00323		499							
ab00324		2						P1virus	
ab00325		2							
ab00326		2						P1virus	P1virus(incomplete)
ab00327		2							
ab00328		2						P1virus	
ab00329		499							
ab00330		499							
ab00331		2							
ab00332		2						P1virus	P1virus(incomplete)
ab00333		2						P1virus	P1virus(incomplete)
ab00334		2						P1virus	
ab00335		2						P1virus	P1virus(incomplete)
ab00336		2						P1virus	P1virus(incomplete)
ab00337		2						P1virus	
ab00338		2							
ab00339		2						P1virus	
ab00340		2							
ab00341		2							
ab00342		2						P1virus	P1virus(incomplete)
ab00343		2							
ab00344		2						P1virus	P1virus(incomplete)
ab00345		2						P1virus	P1virus(incomplete)
ab00346		2						P1virus	P1virus(incomplete)
ab00347		2							
ab00348		2						P1virus	
ab00349		499							
ab00350		2							
ab00351		2						P1virus	P1virus(incomplete)
ab00352		2						P1virus	P1virus(incomplete)
ab00353		1142							
ab00354		2						P1virus	P1virus(incomplete)
ab00355		2							
ab00356		2							
ab00357		2						P1virus	P1virus(incomplete)
ab00358		2						P1virus	P1virus(incomplete)
ab00359		15							
ab00360		1142							
ab00361		2							
ab00362		2						P1virus	P1virus(incomplete)
ab00363		2						P1virus	P1virus(incomplete)
ab00364		2							
ab00365		2						P1virus	P1virus(incomplete)
ab00366		2						P1virus	P1virus(incomplete)
ab00367		2						P1virus	P1virus(incomplete)
ab00368		16							
ab00369		2						P1virus	P1virus(incomplete)
ab00370		2							
ab00371		46							
ab00372		2						P1virus	P1virus(incomplete)
ab00373		2						P1virus	P1virus(incomplete)
ab00374		499							
ab00375		2						P1virus	P1virus(incomplete)
ab00376		2						P1virus	P1virus(incomplete)
ab00377		2							
ab00378		1142							
ab00379		2							
ab00380		1142							
ab00381		2							
ab00382		1142							
ab00383	I-F	1					I-Fb		
ab00384		2						P1virus	P1virus(incomplete)
ab00385		2							
ab00386		2						P1virus	P1virus(incomplete)
ab00387		-							
ab00388		2						P1virus	P1virus(incomplete)
ab00389		2						P1virus	P1virus(incomplete)
ab00390		2							
ab00391		2						P1virus	P1virus(incomplete)
ab00392		2						P1virus	P1virus(incomplete)
ab00393		499							
ab00394		2						P1virus	
ab00395		2						P1virus	P1virus(incomplete)
ab00396		499							
ab00397		2						P1virus	P1virus(incomplete)
ab00398		2						P1virus	P1virus(incomplete)
ab00399		499							
ab00400	I-F	113					I-Fb		
ab00401		499							
ab00402		2						P1virus	P1virus(incomplete)
ab00403		2						P1virus	P1virus(incomplete)
ab00404	I-F	1					I-Fb		
ab00405		2						P1virus	P1virus(incomplete)
ab00406		499							
ab00407		2						P1virus	
ab00408		2						P1virus	
ab00409		16							
ab00410		2						P1virus	P1virus(incomplete)
ab00411		2						P1virus	
ab00412		2						P1virus	
ab00413		2						P1virus	
ab00414		187						P1virus	
ab00415		2						P1virus	
ab00416		-							
ab00417		2						P1virus	
ab00418		2						P1virus	
ab00419		2						P1virus	
ab00420		-							
ab00421		-							
ab00422		-							
ab00423		2						P1virus	
ab00424		2						P1virus	P1virus(incomplete)
ab00425		2							
ab00426		16							
ab00427	I-F	25					I-Fb		
ab00428	I-F	25	incomplete				I-Fb		
ab00429		2						P1virus	
ab00430		2						P1virus	
ab00431		-							
ab00432		16							
ab00433		-							
ab00434		2							
ab00435		2							
ab00436		2						P1virus	P1virus(incomplete)
ab00437		2						P1virus	P1virus(incomplete)
ab00438		2							
ab00439		499							
ab00440		2						P1virus	P1virus(incomplete)
ab00441		2							
ab00442		2							
ab00443		2						P1virus	P1virus(incomplete)
ab00444		2							
ab00445		499							
ab00446		2						P1virus	P1virus(incomplete)
ab00447		2							
ab00448		2							
ab00449		2						P1virus	
ab00450		2						P1virus	P1virus(incomplete)
ab00451		250							
ab00452		2						P1virus	P1virus(incomplete)
ab00453		2						P1virus	P1virus(incomplete)
ab00454		2							
ab00455		2						P1virus	P1virus(incomplete)
ab00456		229							
ab00457		2						P1virus	P1virus(incomplete)
ab00458		2							
ab00459		250							
ab00460		2						P1virus	P1virus(incomplete)
ab00461		499							
ab00462		2						P1virus	P1virus(incomplete)
ab00463		2						P1virus	P1virus(incomplete)
ab00464		2							
ab00465		-						P1virus	P1virus(incomplete)
ab00466		2						P1virus	P1virus(incomplete)
ab00467		2						P1virus	P1virus(incomplete)
ab00468		2						P1virus	P1virus(incomplete)
ab00469		636						P1virus	P1virus(incomplete)
ab00470		2							
ab00471		636						P1virus	P1virus(incomplete)
ab00472		2						P1virus	P1virus(incomplete)
ab00473		229							
ab00474		636						P1virus	P1virus(incomplete)
ab00475		492							
ab00476		2						P1virus	P1virus(incomplete)
ab00477	I-F	1					I-Fb		
ab00478		492							
ab00479		636						P1virus	P1virus(incomplete)
ab00480		636						P1virus	P1virus(incomplete)
ab00481		45							
ab00482		45							
ab00483		636						P1virus	P1virus(incomplete)
ab00484		636						P1virus	P1virus(incomplete)
ab00485		2						P1virus	P1virus(incomplete)
ab00486		636						P1virus	P1virus(incomplete)
ab00487	I-F	1					I-Fb		
ab00488		2						P1virus	P1virus(incomplete)
ab00489		2						P1virus	P1virus(incomplete)
ab00490		2						P1virus	P1virus(incomplete)
ab00491		164							
ab00492		164							
ab00493		2						P1virus	P1virus(incomplete)
ab00494		164							
ab00495	I-F	79					I-Fa		
ab00496		16							
ab00497		2							
ab00498		23		arrays	anycas	ambiguous		P1virus	P1virus(incomplete)
ab00499		2							
ab00500		2						P1virus	P1virus(incomplete)
ab00501		2						P1virus	
ab00502		2							
ab00503		2						P1virus	
ab00504		2						P1virus	
ab00505		2						P1virus	
ab00506		78							
ab00507		2						P1virus	P1virus(incomplete)
ab00508		78							
ab00509		2						P1virus	
ab00510		2						P1virus	
ab00511		499						P1virus	
ab00512		2							
ab00513		-							
ab00514		2						P1virus	
ab00515		499						P1virus	P1virus(incomplete)
ab00516		1142							
ab00517		2						P1virus	P1virus(incomplete)
ab00518		2						P1virus	P1virus(incomplete)
ab00519		2						P1virus	P1virus(incomplete)
ab00520		2						P1virus	P1virus(incomplete)
ab00521		2						P1virus	P1virus(incomplete)
ab00522		2						P1virus	P1virus(incomplete)
ab00523		2						P1virus	P1virus(incomplete)
ab00524		2						P1virus	P1virus(incomplete)
ab00525		2						P1virus	P1virus(incomplete)
ab00526		2						P1virus	P1virus(incomplete)
ab00527	I-F	734					I-Fb		
ab00528	I-F	734					I-Fb		
ab00529	I-F	734					I-Fb		
ab00530		2							
ab00531		2						P1virus	P1virus(incomplete)
ab00532		2						P1virus	P1virus(incomplete)
ab00533		-						P1virus	P1virus(incomplete)
ab00534	I-F,I-F	734	incomplete				I-Fb		
ab00535		2						P1virus	P1virus(incomplete)
ab00536		2						P1virus	P1virus(incomplete)
ab00537		2							
ab00538		2						P1virus	P1virus(incomplete)
ab00539		2						P1virus	P1virus(incomplete)
ab00540		2						P1virus	P1virus(incomplete)
ab00541		149							
ab00542		2						P1virus	P1virus(incomplete)
ab00543		2						P1virus	P1virus(incomplete)
ab00544		2						P1virus	P1virus(incomplete)
ab00545		2						P1virus	P1virus(incomplete)
ab00546		2						P1virus	P1virus(incomplete)
ab00547		2							
ab00548		-						P1virus	P1virus(incomplete)
ab00549		2						P1virus	P1virus(incomplete)
ab00550		724						P1virus	P1virus(incomplete)
ab00551		2						P1virus	P1virus(incomplete)
ab00552		2						P1virus	P1virus(incomplete)
ab00553		2						P1virus	
ab00554		2						P1virus	
ab00555		2						P1virus	P1virus(incomplete)
ab00556		2						P1virus	P1virus(incomplete)
ab00557		2						P1virus	
ab00558		2						P1virus	
ab00559		2						P1virus	
ab00560		2						P1virus	
ab00561		2						P1virus	
ab00562		2						P1virus	
ab00563	I-F	1					I-Fb		
ab00564	I-F	16	incomplete				I-Fa		
ab00565		2						P1virus	
ab00566		2							
ab00567		2						P1virus	
ab00568		10							
ab00569		2						P1virus	
ab00570		2						P1virus	
ab00571	I-F	623					I-Fb	P1virus	P1virus(incomplete)
ab00572	I-F	81					I-Fb	P1virus	P1virus(incomplete)
ab00573		2						P1virus	
ab00574		2						P1virus	
ab00575		2						P1virus	
ab00576		2						P1virus	
ab00577		575						P1virus	P1virus(incomplete)
ab00578		2						P1virus	
ab00579		2						P1virus	
ab00580		2						P1virus	
ab00581		2						P1virus	
ab00582		2						P1virus	
ab00583		2						P1virus	
ab00584		2							
ab00585		2						P1virus	
ab00586		2						P1virus	
ab00587		2						P1virus	
ab00588		2						P1virus	
ab00589		15						P1virus	
ab00590		2						P1virus	
ab00591		2						P1virus	P1virus(incomplete)
ab00592	I-F	1					I-Fb	P1virus	
ab00593		2							
ab00594		577						P1virus	P1virus(incomplete)
ab00595		2						P1virus	
ab00596		2						P1virus	
ab00597		2						P1virus	
ab00598		2							
ab00599		156							
ab00600		2						P1virus	P1virus(incomplete)
ab00601		2						P1virus	
ab00602		2						P1virus	
ab00603	I-F	52					I-Fa		
ab00604		2						P1virus	P1virus(incomplete)
ab00605		2						P1virus	
ab00606		158						P1virus	
ab00607		2						P1virus	
ab00608		78							
ab00609		577						P1virus	P1virus(incomplete)
ab00610	I-F	25					I-Fb		
ab00611		78		arrays		ambiguous			
ab00612		2						P1virus	
ab00613		577						P1virus	P1virus(incomplete)
ab00614		2						P1virus	
ab00615		2							
ab00616		2						P1virus	
ab00617		2						P1virus	
ab00618		575						P1virus	P1virus(incomplete)
ab00619		2						P1virus	
ab00620		2						P1virus	
ab00621		577						P1virus	P1virus(incomplete)
ab00622		2						P1virus	
ab00623		2						P1virus	
ab00624		2							
ab00625		215						P1virus	P1virus(incomplete)
ab00626		2							
ab00627		2						P1virus	P1virus(incomplete)
ab00628		2						P1virus	
ab00629		2							
ab00630		2						P1virus	P1virus(incomplete)
ab00631		10							
ab00632		2						P1virus	
ab00633		2						P1virus	P1virus(incomplete)
ab00634		156							
ab00635		2						P1virus	P1virus(incomplete)
ab00636		2						P1virus	
ab00637		2						P1virus	P1virus(incomplete)
ab00638		2						P1virus	
ab00639		2							
ab00640		-							
ab00641		2							
ab00642	I-F	25					I-Fb		
ab00643		2						P1virus	
ab00644		2						P1virus	P1virus(incomplete)
ab00645		2						P1virus	P1virus(incomplete)
ab00646		2						P1virus	P1virus(incomplete)
ab00647	I-F	25					I-Fb		
ab00648		2						P1virus	P1virus(incomplete)
ab00649		2						P1virus	
ab00650		2						P1virus	
ab00651		2						P1virus	P1virus(incomplete)
ab00652		2						P1virus	P1virus(incomplete)
ab00653		2						P1virus	
ab00654		2						P1virus	P1virus(incomplete)
ab00655		2						P1virus	P1virus(incomplete)
ab00656		2						P1virus	P1virus(incomplete)
ab00657		2						P1virus	
ab00658	I-F	25					I-Fb		
ab00659	I-F	25					I-Fb		
ab00660		2						P1virus	
ab00661		2						P1virus	P1virus(incomplete)
ab00662		2						P1virus	P1virus(incomplete)
ab00663		2						P1virus	P1virus(incomplete)
ab00664		2						P1virus	P1virus(incomplete)
ab00665		2						P1virus	
ab00666	I-F	25					I-Fb		
ab00667		2						P1virus	
ab00668		2						P1virus	P1virus(incomplete)
ab00669		2						P1virus	P1virus(incomplete)
ab00670		2						P1virus	P1virus(incomplete)
ab00671		2						P1virus	P1virus(incomplete)
ab00672		2						P1virus	P1virus(incomplete)
ab00673		2						P1virus	P1virus(incomplete)
ab00674		2						P1virus	P1virus(incomplete)
ab00675		2						P1virus	P1virus(incomplete)
ab00676		2						P1virus	P1virus(incomplete)
ab00677		2						P1virus	P1virus(incomplete)
ab00678		2						P1virus	P1virus(incomplete)
ab00679		2						P1virus	P1virus(incomplete)
ab00680		2						P1virus	P1virus(incomplete)
ab00681	I-F	25					I-Fb		
ab00682		2						P1virus	P1virus(incomplete)
ab00683		187						P1virus	P1virus(incomplete)
ab00684		2						P1virus	P1virus(incomplete)
ab00685		2						P1virus	
ab00686		2						P1virus	P1virus(incomplete)
ab00687		2						P1virus	P1virus(incomplete)
ab00688		2						P1virus	P1virus(incomplete)
ab00689		2						P1virus	P1virus(incomplete)
ab00690		2						P1virus	
ab00691		2						P1virus	P1virus(incomplete)
ab00692		2						P1virus	P1virus(incomplete)
ab00693		2						P1virus	P1virus(incomplete)
ab00694		2						P1virus	P1virus(incomplete)
ab00695		1537						P1virus	P1virus(incomplete)
ab00696		1537						P1virus	P1virus(incomplete)
ab00697		2						P1virus	P1virus(incomplete)
ab00698		2						P1virus	P1virus(incomplete)
ab00699		2						P1virus	
ab00700		499						P1virus	
ab00701		2						P1virus	P1virus(incomplete)
ab00702		2							
ab00703		2							
ab00704		2						P1virus	
ab00705		2						P1virus	P1virus(incomplete)
ab00706		2						P1virus	P1virus(incomplete)
ab00707		1091							
ab00708		2							
ab00709		1091							
ab00710		499							
ab00711		2						P1virus	
ab00712		2							
ab00713		2						P1virus	
ab00714		2							
ab00715		78							
ab00716		2						P1virus	
ab00717		2						P1virus	
ab00718		499						P1virus	
ab00719		2						P1virus	
ab00720		2						P1virus	
ab00721		-							
ab00722		2						P1virus	
ab00723		1091							
ab00724		2						P1virus	
ab00725		2						P1virus	
ab00726		2						P1virus	
ab00727		2							
ab00728		2							
ab00729		2						P1virus	
ab00730		2						P1virus	
ab00731		-						P1virus	
ab00732		2						P1virus	
ab00733		2						P1virus	
ab00734		2						P1virus	
ab00735		2						P1virus	
ab00736		2						P1virus	
ab00737		2						P1virus	
ab00738		2						P1virus	
ab00739		2						P1virus	
ab00740		2							
ab00741		2							
ab00742		2							
ab00743		2							
ab00744		2							
ab00745		2							
ab00746		2							
ab00747		2							
ab00748		2						P1virus	
ab00749		2							
ab00750		2							
ab00751		2						P1virus	
ab00752		2						P1virus	
ab00753		2						P1virus	
ab00754		2							
ab00755		2							
ab00756		2						P1virus	
ab00757		2							
ab00758		2						P1virus	
ab00759		2						P1virus	
ab00760		2							
ab00761		2							
ab00762		2							
ab00763		2							
ab00764		2						P1virus	
ab00765		2						P1virus	
ab00766		499							
ab00767		2						P1virus	
ab00768		2							
ab00769		2						P1virus	
ab00770		2						P1virus	
ab00771		78							
ab00772		1822							
ab00773		2							
ab00774		2						P1virus	P1virus(incomplete)
ab00775		2						P1virus	
ab00776		2						P1virus	
ab00777		2						P1virus	
ab00778		2							
ab00779		2						P1virus	P1virus(incomplete)
ab00780		2							
ab00781		2							
ab00782		2						P1virus	
ab00783		2						P1virus	
ab00784		2							
ab00785		2						P1virus	
ab00786		2						P1virus	
ab00787		2						P1virus	P1virus(incomplete)
ab00788		499							
ab00789		2						P1virus	
ab00790		2						P1virus	
ab00791		2							
ab00792		2							
ab00793		2							
ab00794		2							
ab00795		2						P1virus	
ab00796		499							
ab00797		2						P1virus	
ab00798		2						P1virus	
ab00799		2						P1virus	
ab00800		2						P1virus	P1virus(incomplete)
ab00801		2						P1virus	P1virus(incomplete)
ab00802		-						P1virus	
ab00803		2						P1virus	
ab00804		1091							
ab00805		2						P1virus	
ab00806		2						P1virus	
ab00807		2						P1virus	
ab00808		499							
ab00809		2						P1virus	
ab00810		2						P1virus	
ab00811		2						P1virus	
ab00812		2							
ab00813		2						P1virus	
ab00814		2						P1virus	
ab00815		2						P1virus	
ab00816		2						P1virus	
ab00817		2						P1virus	
ab00818		1091							
ab00819		499							
ab00820		2						P1virus	
ab00821		499							
ab00822		2						P1virus	
ab00823		2						P1virus	
ab00824		2						P1virus	
ab00825		2						P1virus	
ab00826		2						P1virus	
ab00827		2						P1virus	
ab00828		499							
ab00829		2						P1virus	
ab00830		2						P1virus	
ab00831		2						P1virus	
ab00832		2						P1virus	P1virus(incomplete)
ab00833		2						P1virus	
ab00834		2						P1virus	
ab00835		2						P1virus	
ab00836		2							
ab00837		499							
ab00838		2						P1virus	
ab00839		2						P1virus	
ab00840		1091							
ab00841		2							
ab00842		2							
ab00843		2						P1virus	
ab00844		2						P1virus	
ab00845		2						P1virus	P1virus(incomplete)
ab00846		2						P1virus	
ab00847		2						P1virus	
ab00848		499						P1virus	
ab00849		499						P1virus	P1virus(incomplete)
ab00850		499						P1virus	P1virus(incomplete)
ab00851		2						P1virus	
ab00852		2						P1virus	
ab00853		499							
ab00854		2						P1virus	
ab00855		499							
ab00856		2							
ab00857		499							
ab00858		2							
ab00859		2							
ab00860		2							
ab00861		2						P1virus	
ab00862		499							
ab00863		499							
ab00864		78							
ab00865		2							
ab00866		2							
ab00867		2							
ab00868		499							
ab00869		2						P1virus	
ab00870		2						P1virus	P1virus(incomplete)
ab00871		2							
ab00872		499							
ab00873	I-F	79					I-Fa		
ab00874		499						P1virus	P1virus(incomplete)
ab00875		2						P1virus	P1virus(incomplete)
ab00876		2							
ab00877		2						P1virus	
ab00878		499							
ab00879		79							
ab00880		79							
ab00881		79							
ab00882	I-F	25					I-Fb		
ab00883		79							
ab00884		79							
ab00885		2							
ab00886	I-F	25	incomplete				I-Fb		
ab00887		15							
ab00888		79							
ab00889		730							
ab00890	I-F	25	incomplete				I-Fb		
ab00891		79							
ab00892		79							
ab00893		79							
ab00894		15							
ab00895		1							
ab00896		79							
ab00897		79							
ab00898		15							
ab00899		79							
ab00900		79							
ab00901		2							
ab00902		2							
ab00903		2							
ab00904	I-F	25	incomplete				I-Fb		
ab00905		111						P1virus	
ab00906		156							
ab00907		2						P1virus	P1virus(incomplete)
ab00908		745							
ab00909		3							
ab00910		129						P1virus	P1virus(incomplete)
ab00911		156							
ab00912		2							
ab00913		129						P1virus	P1virus(incomplete)
ab00914	I-F	1					I-Fb		
ab00915	I-F	25					I-Fb		
ab00916		2						P1virus	
ab00917		2							
ab00918	I-F	25					I-Fb		
ab00919		15							
ab00920		243							
ab00921	I-F	79	incomplete				I-Fa		
ab00922	I-F	79					I-Fa		
ab00923		85							
ab00924		2							
ab00925		2						P1virus	P1virus(incomplete)
ab00926		2						P1virus	P1virus(incomplete)
ab00927		2						P1virus	P1virus(incomplete)
ab00928		2						P1virus	P1virus(incomplete)
ab00929		2						P1virus	
ab00930	I-F	25					I-Fb		
ab00931		2							
ab00932		85							
ab00933		2						P1virus	P1virus(incomplete)
ab00934		2						P1virus	P1virus(incomplete)
ab00935		2						P1virus	
ab00936		2						P1virus	P1virus(incomplete)
ab00937		318							
ab00938		2						P1virus	P1virus(incomplete)
ab00939		2							
ab00940		2						P1virus	
ab00941		2						P1virus	
ab00942		2						P1virus	
